Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
WETLAND ,  -.504648    ,   .118726    ,  -4.25052    ,   .213277E-04,  -.737348    ,  -.271949    
PAY     ,   .156177E-02,   .264283E-03,   5.90947    ,   .000000    ,   .104379E-02,   .207976E-02
COVERCRO,   .455531E-01,   .832826E-01,   .546970    ,   .584399    ,  -.117678    ,   .208784    
NM      ,  -.668846E-01,   .900423E-01,  -.742813    ,   .457595    ,  -.243364    ,   .109595    
ASC     ,  -.469028    ,   .410839    ,  -1.14163    ,   .253607    ,  -1.27426    ,   .336202    
DEMS18  ,   .434815    ,   .917631E-01,   4.73846    ,   .215352E-05,   .254963    ,   .614668    
COSTTAX ,  -.139412E-02,   .402760E-03,  -3.46143    ,   .537317E-03,  -.218352E-02,  -.604729E-03
INCFARM1,   .148695    ,   .219175    ,   .678433    ,   .497497    ,  -.280879    ,   .578270    
INCFARM2,   .189772    ,   .221324    ,   .857441    ,   .391201    ,  -.244015    ,   .623560    
INCFARM4,   .162261    ,   .225420    ,   .719815    ,   .471639    ,  -.279554    ,   .604075    
INCFARM5,   .227038    ,   .227120    ,   .999638    ,   .317486    ,  -.218110    ,   .672186    
INCFARM6,   1.06343    ,   .345878    ,   3.07459    ,   .210793E-02,   .385524    ,   1.74134    
FARMSI2 ,   .628645    ,   .297586    ,   2.11248    ,   .346450E-01,   .453877E-01,   1.21190    
FARMSI3 ,  -.180717    ,   .182727    ,  -.988999    ,   .322664    ,  -.538857    ,   .177422    
FARMSI4 ,   .562894    ,   .282138    ,   1.99510    ,   .460319E-01,   .991332E-02,   1.11588    
CONSUMP ,   .729899    ,   .301441    ,   2.42136    ,   .154625E-01,   .139084    ,   1.32071    
GENECON ,  -.142646    ,   .178239    ,  -.800311    ,   .423531    ,  -.491988    ,   .206695    
SPECIF  ,  -.269745    ,   .163342    ,  -1.65141    ,   .986545E-01,  -.589889    ,   .503995E-01
ETHI    ,  -.517531E-01,   .160416    ,  -.322619    ,   .746984    ,  -.366162    ,   .262656    
NONCOMSU,   .134416E-01,   .128978    ,   .104216    ,   .916998    ,  -.239351    ,   .266234    
ADVAN   ,   2.39136    ,   .606019    ,   3.94602    ,   .794622E-04,   1.20359    ,   3.57914    
NMDIS   ,  -18.1054    ,   7.14254    ,  -2.53487    ,   .112491E-01,  -32.1045    ,  -4.10626    
WLDDIS  ,  -.384643    ,   .116349    ,  -3.30593    ,   .946618E-03,  -.612683    ,  -.156602    
CCDIS   ,   .390974E-01,   .931506E-01,   .419722    ,   .674688    ,  -.143474    ,   .221669    
OPENNESS,  -.579953    ,   .145446    ,  -3.98740    ,   .668017E-04,  -.865023    ,  -.294883    
FAMILIAR,  -.330847E-01,   .144857    ,  -.228396    ,   .819338    ,  -.316999    ,   .250830    
WLDADV  ,   1.18188    ,   .308524    ,   3.83077    ,   .127745E-03,   .577188    ,   1.78658    
CCADV   ,   .187166    ,   .106859    ,   1.75151    ,   .798573E-01,  -.222748E-01,   .396607    
NMADV   ,   .654734    ,   .332968    ,   1.96636    ,   .492573E-01,   .212901E-02,   1.30734    
AGENTRES,  -.967383    ,  
