Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
WETLAND ,  -.461782    ,   .111970    ,  -4.12417    ,   .372068E-04,  -.681238    ,  -.242326    
PAY     ,   .141517E-02,   .000000    ,   .100000E+11,   .372068E-04,   .141517E-02,   .141517E-02
COVERCRO,   .395092E-01,   .278281E-02,   14.1976    ,   .000000    ,   .340550E-01,   .449634E-01
NM      ,  -.625763E-01,   .250780E-02,  -24.9526    ,   .000000    ,  -.674915E-01,  -.576611E-01
ASC     ,  -1.25612    ,   .186259    ,  -6.74391    ,   .000000    ,  -1.62118    ,  -.891054    
        ,  -1.25612    ,   .000000    ,   .100000E+11,   .000000    ,  -1.25612    ,  -1.25612    
DFL     ,   2.70727    ,   .905751E-01,   29.8898    ,   .000000    ,   2.52975    ,   2.88480    
COSTTAX ,  -.481232E-03,   .000000    ,   .100000E+11,   .000000    ,  -.481232E-03,  -.481232E-03
INCFARM1,   .186176    ,   .288028    ,   .646379    ,   .518034    ,  -.378350    ,   .750701    
INCFARM2,   .394897    ,   .000000    ,   .100000E+11,   .518034    ,   .394897    ,   .394897    
INCFARM3,   .273464    ,   .000000    ,   .100000E+11,   .518034    ,   .273464    ,   .273464    
INCFARM4,   .954973    ,   .000000    ,   .100000E+11,   .518034    ,   .954973    ,   .954973    
INCFARM5,   .314517    ,   .000000    ,   .100000E+11,   .518034    ,   .314517    ,   .314517    
INCFARM6,   .295595    ,   .000000    ,   .100000E+11,   .518034    ,   .295595    ,   .295595    
FARMSI1 ,   .962852    ,   .000000    ,   .100000E+11,   .518034    ,   .962852    ,   .962852    
FARMSI2 ,   1.07946    ,   .000000    ,   .100000E+11,   .518034    ,   1.07946    ,   1.07946    
FARMSI3 ,   .978129    ,   .000000    ,   .100000E+11,   .518034    ,   .978129    ,   .978129    
FARMSI4 ,   .974221    ,   .000000    ,   .100000E+11,   .518034    ,   .974221    ,   .974221    
                                                                                
Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
WETLAND ,  -.461782    ,   .113023    ,  -4.08573    ,   .439392E-04,  -.683304    ,  -.240261    
PAY     ,   .141517E-02,   .251289E-03,   5.63163    ,   .178516E-07,   .922650E-03,   .190769E-02
COVERCRO,   .395092E-01,   .793414E-01,   .497965    ,   .618509    ,  -.115997    ,   .195015    
NM      ,  -.625763E-01,   .857782E-01,  -.729513    ,   .465688    ,  -.230698    ,   .105546    
ASC     ,  -2.51223    ,   .506500    ,  -4.95998    ,   .705003E-06,  -3.50495    ,  -1.51951    
DFL     ,   2.70727    ,   .719346    ,   3.76352    ,   .167538E-03,   1.29738    ,   4.11716    
COSTTAX ,  -.481232E-03,   .370059E-03,  -1.30042    ,   .193457    ,  -.120653E-02,   .244070E-03
INCFARM1,   .186176    ,   .204105    ,   .912154    ,   .361688    ,  -.213864    ,   .586215    
INCFARM2,   .394897    ,   .221833    ,   1.78016    ,   .750503E-01,  -.398871E-01,   .829681    
INCFARM3,   .273464    ,   .205416    ,   1.33127    ,   .183101    ,  -.129144    ,   .676072    
INCFARM4,   .954973    ,   .316587    ,   3.01646    ,   .255741E-02,   .334474    ,   1.57547    
INCFARM5,   .314517    ,   .209673    ,   1.50004    ,   .133604    ,  -.964338E-01,   .725468    
INCFARM6,   .295595    ,   .207893    ,   1.42186    ,   .155067    ,  -.111868    ,   .703057    
FARMSI1 ,   .962852    ,   .273555    ,   3.51978    ,   .431902E-03,   .426695    ,   1.49901    
FARMSI2 ,   1.07946    ,   .267646    ,   4.03316    ,   .550315E-04,   .554883    ,   1.60404    
FARMSI3 ,   .978129    ,   .288649    ,   3.38865    ,   .702378E-03,   .412388    ,   1.54387    
FARMSI4 ,   .974221    ,   .256329    ,   3.80067    ,   .144305E-03,   .471826    ,   1.47662    
                                                                                
Last Model Estimation Results                                                   
Variable,Coeff.  ,Std.Err.,t-ratio ,P-value ,LowerCIL,UpperCIL
WETLAND ,  -1.92810    ,   .171455    ,  -11.2455    ,   .000000    ,  -2.26415    ,  -1.59206    
PAY     ,   .385552E-02,   .255016E-03,   15.1187    ,   .000000    ,   .335570E-02,   .435534E-02
COVERCRO,  -.460781    ,   .107970    ,  -4.26768    ,   .197520E-04,  -.672398    ,  -.249164    
NM      ,  -.816310    ,   .122165    ,  -6.68203    ,   .000000    ,  -1.05575    ,  -.576871    
ASC     ,  -3.13397    ,   .427467    ,  -7.33149    ,   .000000    ,  -3.97179    ,  -2.29615    
DFL     ,   4.31984    ,   .597994    ,   7.22390    ,   .000000    ,   3.14780    ,   5.49189    
COSTTAX ,  -.795995E-03,   .311909E-03,  -2.55201    ,   .107104E-01,  -.140733E-02,  -.184664E-03
INCFARM1,   .445614    ,   .167875    ,   2.65444    ,   .794404E-02,   .116585    ,   .774643    
INCFARM2,   .446930    ,   .185855    ,   2.40473    ,   .161845E-01,   .826613E-01,   .811198    
INCFARM3,   .414449    ,   .169243    ,   2.44885    ,   .143315E-01,   .827396E-01,   .746159    
INCFARM4,   1.53221    ,   .330302    ,   4.63883    ,   .350391E-05,   .884833    ,   2.17959    
INCFARM5,   .436478    ,   .176284    ,   2.47600    ,   .132864E-01,   .909686E-01,   .781988    
INCFARM6,   .517796    ,   .170700    ,   3.03337    ,   .241840E-02,   .183230    ,   .852362    
FARMSI1 ,   .993918    ,   .203061    ,   4.89469    ,   .984622E-06,   .595926    ,   1.39191    
FARMSI2 ,   1.21014    ,   .196143    ,   6.16966    ,   .000000    ,   .825703    ,   1.59457    
FARMSI3 ,   .983527    ,   .217001    ,   4.53236    ,   .583275E-05,   .558213    ,   1.40884    
FARMSI4 ,   1.03978    ,   .184353    ,   5.64014    ,   .169912E-07,   .678451    ,   1.40110    
WETL:LAK,   .000000    ,   .000000    ,   .100000E+11,   .169912E-07,   .000000    ,   .000000    
WETL:INC,   .000000    ,   .000000    ,   .100000E+11,   .169912E-07,   .000000    ,   .000000    
PAY :LAK,   .000000    ,   .000000    ,   .100000E+11,   .169912E-07,   .000000    ,   .000000    
PAY :INC,   .000000    ,   .000000    ,   .100000E+11,   .169912E-07,   .000000    ,   .000000    
COVE:LAK,   .749970E-01,   .191429E-01,   3.91775    ,   .893811E-04,   .374776E-01,   .112516    
COVE:INC,   .000000    ,   .000000    ,   .100000E+11,   .893811E-04,   .000000    ,   .000000    
NM  :LAK,   .000000    ,   .000000    ,   .100000E+11,   .893811E-04,   .000000    ,   .000000    
NM  :INC,   .000000    ,   .000000    ,   .100000E+11,   .893811E-04,   .000000    ,   .000000    
QsWETLAN,   .000000    ,   .000000    ,   .100000E+11,   .893811E-04,   .000000    ,   .000000    
CsPAY   ,   .000000    ,   .000000    ,   .100000E+11,   .893811E-04,   .000000    ,   .000000    
QsCOVERC,   .000000    ,   .000000    ,   .100000E+11,   .893811E-04,   .000000    ,   .000000    
QsNM    ,   .000000    ,   .000000    ,   .100000E+11,   .893811E-04,   .000000    ,   .000000    
                                                                                
Last Model Estimation Results                                                   
